"N","P","K","temperature","humidity","ph","rainfall","label"
"73","45","42","25.94","82.07","6.75","230.67","rice"
"80","50","41","20.05","81.93","6.67","237.52","rice"
"99","40","45","23.7","84.92","5.51","268.5","rice"
"65","60","43","21.31","80.95","6.49","248.96","rice"
"71","46","44","25.94","83.37","7.68","244.35","rice"
"97","35","36","22.27","81.88","6.89","284.1","rice"
"72","57","42","24.83","82.43","7.43","255.26","rice"
"86","35","39","22.91","80.6","5.97","198.2","rice"
"79","45","41","22","84.24","6.68","189.04","rice"
"81","49","37","23.08","81.43","6.01","263.71","rice"
"81","51","42","25.81","82.43","6.45","203.53","rice"
"88","43","42","24.07","83.99","5.01","200.65","rice"
"78","55","40","26.93","81.99","6.31","261.44","rice"
"76","35","36","23.69","82.46","6.98","219.84","rice"
"75","41","42","24.25","81.55","6.8","298.56","rice"
"75","48","43","26.93","83.16","6.93","213.18","rice"
"98","49","42","23.42","80.69","6.25","273.43","rice"
"84","45","39","26.72","82.23","7.07","182.56","rice"
"89","49","37","22.43","83.8","6.34","227.88","rice"
"74","46","38","22.88","81.23","5.01","283.38","rice"
"75","52","36","23.61","80.42","7.37","230.23","rice"
"96","35","43","21.1","80.49","6.09","223.44","rice"
"91","39","38","26.7","81.51","6.34","219.26","rice"
"86","40","38","24.11","82.17","6.3","217.04","rice"
"83","35","40","23","83.55","7.22","242.34","rice"
"79","42","41","24.45","84.97","7.34","232.65","rice"
"78","49","45","24.57","84.08","7.16","231.39","rice"
"83","53","43","21.9","81.66","5.49","241.08","rice"
"73","49","41","22.77","84.26","7.25","259.33","rice"
"86","52","40","22.78","84.88","7.36","265.47","rice"
"68","54","44","21.77","83.59","6","298.56","rice"
"66","56","36","24.71","84.33","7.69","265.19","rice"
"98","40","40","24.7","83.28","6.69","182.94","rice"
"79","35","42","22.34","81.89","6.71","256.94","rice"
"83","58","42","26.57","82.63","6.4","255.9","rice"
"98","60","36","24.3","84.11","7.11","255.76","rice"
"79","56","41","21.7","82.66","5.91","256.45","rice"
"60","55","39","22.73","81.27","7.87","226.39","rice"
"86","55","43","22.41","81.02","5.91","221.36","rice"
"87","60","38","23.97","81.07","5.45","234.61","rice"
"81","53","38","23.75","82.68","7.61","266.67","rice"
"81","41","41","22.56","81.93","7.63","262.89","rice"
"81","55","43","20.35","84.48","7.04","298.56","rice"
"87","47","37","22.24","80.79","6.51","251.91","rice"
"95","45","43","25.72","81.04","6.1","226.73","rice"
"78","52","43","23.28","84.97","6.66","240.33","rice"
"85","45","37","21.09","81.25","6.42","203.59","rice"
"90","42","37","26.17","81.72","6.06","250.27","rice"
"83","43","40","21.75","80.49","7.87","196.55","rice"
"63","45","39","20.39","83.34","5.28","183.49","rice"
"80","49","40","22.23","84.38","6.6","249.13","rice"
"84","49","40","20.73","83.03","7.87","268.18","rice"
"68","43","39","24.1","80.94","6.62","298.43","rice"
"91","46","39","25.15","83.64","5.07","234.57","rice"
"85","48","41","26.26","82.16","7.41","244.1","rice"
"84","46","40","24.07","84.01","6.95","270.3","rice"
"60","60","44","21.04","82.77","5.73","262.99","rice"
"96","46","42","24.99","84.04","6.26","223.18","rice"
"85","40","40","26.93","81.78","6.21","220.77","rice"
"97","41","38","24.71","80.12","5.88","228.76","rice"
"95","41","42","24.16","80.12","5.15","193.53","rice"
"60","60","36","23.63","82.46","6.63","274.1","rice"
"76","35","40","22.46","80.91","7.71","235.81","rice"
"81","45","35","25.31","80.7","6.23","265.66","rice"
"88","50","44","20.71","80.67","5.67","201.98","rice"
"65","56","39","22.47","82.16","6.78","288.42","rice"
"77","57","40","23.91","83.16","6.21","228.3","rice"
"93","53","45","23.24","82.45","7.59","207.57","rice"
"87","46","40","26.93","81.31","6.78","228.51","rice"
"88","42","43","23.49","82.84","7.21","253.18","rice"
"84","51","36","23.84","83.13","6.21","206.41","rice"
"82","38","39","20.05","82.77","5.43","298.56","rice"
"70","42","41","25.95","81.03","6.71","237.37","rice"
"94","50","41","24.02","81.64","5.56","218.79","rice"
"81","60","43","26.11","80.73","5.42","245.5","rice"
"68","40","42","25.12","83.12","5.87","240.73","rice"
"84","45","43","25.17","83.5","6.9","216.69","rice"
"87","35","39","26.93","81.67","5.62","207.63","rice"
"80","49","37","22.45","83.16","5.94","234.99","rice"
"87","47","43","26.93","80.62","6.25","211.16","rice"
"60","60","43","22.86","81.76","6.14","229.13","rice"
"60","50","39","23.73","81.73","5.58","268.58","rice"
"91","47","42","22","80.66","5.72","290.62","rice"
"81","50","42","25.23","82.76","7.87","259.52","rice"
"78","49","38","24.39","81.16","6.27","298.56","rice"
"99","45","44","24.82","83.09","7.16","245.03","rice"
"81","56","42","26.45","84.97","6.68","247.73","rice"
"89","51","44","24.85","81.62","6.3","249.56","rice"
"70","41","38","25.14","82.81","5.59","239.78","rice"
"94","60","40","26.93","81.36","6.95","237","rice"
"82","47","38","23.24","81.5","6.68","215.16","rice"
"72","39","38","24.72","80.12","6.32","298.56","rice"
"75","51","41","20.05","83.13","6.04","209.5","rice"
"72","49","39","23.18","83.13","5.01","185.69","rice"
"92","44","43","23.67","81.89","7.3","255.37","rice"
"72","50","36","26.77","82.79","6.17","269.24","rice"
"68","54","41","22.89","82.29","5.73","251.84","rice"
"95","42","41","23.69","80.79","6.47","265.93","rice"
"96","60","44","21.37","84.75","6.55","283.8","rice"
"62","40","41","25.99","82.88","6.29","182.56","rice"
"87","52","40","24.54","80.84","6.45","203.76","rice"
"90","47","39","25.87","81.96","7.05","269.42","rice"
"78","46","36","23.84","83.8","7.87","229.47","rice"
"90","55","42","23.91","82.41","6.43","264.9","rice"
"85","44","45","24.2","81.36","6.86","278.87","rice"
"86","60","38","21.05","83","5.7","231.75","rice"
"89","42","39","22.01","84.26","6.82","278.87","rice"
"93","49","43","25.25","81.75","6.91","239.4","rice"
"68","45","42","23.41","81.71","7.33","247.98","rice"
"77","54","35","22.13","82.29","5.71","295.08","rice"
"77","55","39","26.93","82.21","6.65","256.52","rice"
"74","44","39","24.63","81.27","5.59","268.22","rice"
"79","45","40","24.37","81.71","6.36","182.56","rice"
"84","59","40","24.69","80.41","7.23","222.84","rice"
"75","53","37","21.7","80.12","7.87","237.63","rice"
"70","48","43","25.83","81.83","6.22","294.33","rice"
"93","48","41","23.68","83.02","5.87","238.51","rice"
"70","48","40","20.86","84.36","5.71","223.31","rice"
"84","50","35","24.3","80.99","6.45","257.31","rice"
"83","35","37","22.77","83.43","5.75","278.39","rice"
"63","42","42","23.37","82.09","6.61","219.98","rice"
"61","42","38","23.58","80.35","6.93","182.56","rice"
"90","49","39","21.79","80.12","6.01","182.56","rice"
"77","49","39","23.11","82.07","7.25","257.45","rice"
"61","35","39","26.31","84.15","6.89","182.56","rice"
"85","46","40","21.74","81.77","5.26","239.26","rice"
"96","42","42","26.25","80.12","6.32","289.21","rice"
"63","47","37","22.67","84.01","5.37","268.61","rice"
"82","42","37","22.26","82.83","5.99","231.21","rice"
"79","58","45","24.03","84.97","5.64","221.56","rice"
"91","52","39","25.53","82.6","6.21","206.98","rice"
"81","44","38","21.81","81.25","6.1","281.66","rice"
"80","48","37","25.54","83.23","7.27","225.68","rice"
"73","58","38","24.72","80.59","6.26","233.56","rice"
"81","46","38","25","83.9","6.25","243.61","rice"
"72","47","45","25.86","82.32","6.98","298.56","rice"
"77","47","42","20.05","82","7.86","265.88","rice"
"66","45","38","22.17","83.66","6.35","274.04","rice"
"86","45","37","23.05","84.97","6.84","253.31","rice"
"69","54","42","22.88","80.95","6.19","246.28","rice"
"85","36","41","21.04","83","6.41","240.57","rice"
"67","45","41","26.24","82.8","6.71","248.14","rice"
"90","39","41","22.39","83.92","6.18","229.44","rice"
"76","40","40","20.54","83.68","7.41","225.19","rice"
"88","35","41","23.28","82.61","5.01","254.69","rice"
"77","50","39","23","82.33","6.99","245.14","rice"
"86","44","39","25.13","80.98","7.02","228.16","rice"
"89","43","39","21.34","84","6.6","298.56","rice"
"90","48","36","21.75","83.91","7.6","268.59","rice"
"60","52","35","22.91","81.39","6","224.63","rice"
"87","46","40","22.88","82.53","6.66","294.2","rice"
"85","54","39","23.71","83.96","5.54","198.05","rice"
"64","41","39","21.99","80.82","6.57","207.26","rice"
"60","47","39","22.4","80.69","5.79","182.56","rice"
"74","55","43","22.54","84.2","6.52","272.52","rice"
"99","41","35","25.09","80.12","5.54","237.7","rice"
"65","49","38","26.27","82.38","6.06","260.25","rice"
"79","50","38","23.12","84.42","6.63","182.56","rice"
"91","37","43","23.92","80.65","6.93","208.12","rice"
"92","55","37","23.46","82.03","6.33","190.54","rice"
"75","49","40","22.05","83.94","6.74","251.15","rice"
"80","52","40","23.13","83.04","6.37","239.92","rice"
"99","54","43","22.96","82.49","7.53","204.59","rice"
"65","40","39","22.45","80.91","5.67","252.64","rice"
"71","47","41","22.91","83.07","6.96","232.05","rice"
"77","53","37","21.36","83.98","6.07","229.45","rice"
"95","58","42","20.18","83.95","6.8","264.77","rice"
"72","49","40","25.99","83","5.99","283.29","rice"
"71","40","43","24.41","80.68","5.7","212.69","rice"
"89","41","41","20.69","83.2","5.61","195.81","rice"
"82","55","37","23.96","83.8","5.86","207.94","rice"
"81","47","40","26.13","83.45","5.72","219.45","rice"
"87","55","42","24.78","82.86","5.65","245.14","rice"
"82","43","37","25.19","81.02","7.54","198.26","rice"
"84","35","38","25.25","80.79","5.35","226.69","rice"
"84","60","41","21.08","80.44","5.11","201.27","rice"
"86","54","39","20.11","82.83","6.18","246.53","rice"
"85","46","35","21.24","81.67","7.32","189.63","rice"
"99","35","45","24.82","82.12","6.14","298.56","rice"
"78","46","42","22.28","82.9","6.03","219.95","rice"
"86","54","39","25.32","83.39","5.82","206.54","rice"
"89","54","45","20.16","81.85","6.28","257.19","rice"
"90","55","38","23.05","81.79","6.34","255.47","rice"
"82","51","37","20.05","81.29","6.07","284.91","rice"
"86","47","40","24.07","83.22","5.63","182.56","rice"
"60","56","45","25.07","83.69","5.21","266.05","rice"
"73","57","43","22.72","83.71","7.24","212.99","rice"
"87","41","44","22.34","81.26","6.62","197.36","rice"
"69","35","41","25.5","82.11","5.83","182.56","rice"
"74","47","43","24.53","82.03","5.01","197.84","rice"
"72","52","38","21.89","80.93","5.01","218.76","rice"
"60","56","40","23.08","84.97","6.3","235.01","rice"
"79","44","45","24.84","81.09","6.1","250.23","rice"
"76","38","39","23.33","81.53","7.05","238.23","rice"
"81","54","45","23.54","83.12","7.34","207.33","rice"
"88","48","41","22.28","82.1","7.41","237.99","rice"
"79","41","40","25.06","81.56","7.63","214.52","rice"
"98","48","42","23.73","81.61","7.87","227.18","rice"
"62","58","36","23.2","81.87","7.34","254.55","rice"
"70","60","35","23.21","84","6.6","187.1","rice"
"86","60","39","24.86","82.25","6.49","282.89","rice"
"86","43","43","20.05","81.71","5.9","235.85","rice"
"60","38","41","24.12","84.47","5.14","254.41","rice"
"96","59","38","20.4","82.38","5.01","235.38","rice"
"76","45","35","25.49","80.56","5.83","182.56","rice"
"87","59","38","26.15","83.24","5.78","260.96","rice"
"87","56","45","24.18","81.44","5.88","225.73","rice"
