crop,source,N_min,N_max,N_mean,N_std,P_min,P_max,P_mean,P_std,K_min,K_max,K_mean,K_std,temp_min,temp_max,temp_mean,temp_std,hum_min,hum_max,hum_mean,hum_std,ph_min,ph_max,ph_mean,ph_std,rain_min,rain_max,rain_mean,rain_std
rice,measured,60,99,79.89,11.86,35,60,47.58,7.87,35,45,39.87,2.93,20.05,26.93,23.69,2.02,80.12,84.97,82.27,1.41,5.01,7.87,6.43,0.76,182.56,298.56,236.18,34.12
maize,measured,60,100,77.76,11.89,35,60,48.44,7.97,15,25,19.79,2.93,18.04,26.55,22.39,2.67,55.28,74.83,65.09,5.42,5.51,7.00,6.25,0.41,60.65,109.75,84.77,15.47
cotton,measured,100,140,117.77,11.57,35,60,46.24,7.31,15,25,19.56,3.15,22.00,25.99,23.99,1.13,75.01,84.88,79.84,3.04,5.80,7.99,6.91,0.62,60.65,99.93,80.40,11.18
chickpea,measured,20,60,40.09,12.09,55,80,67.79,7.46,75,85,79.92,3.25,17.02,21.00,18.87,1.16,14.26,19.97,16.86,1.70,5.99,8.87,7.34,0.80,65.11,94.78,80.06,7.90
lentil,measured,0,40,18.77,12.14,55,80,68.36,7.30,15,25,19.41,2.95,18.06,29.94,24.51,3.30,60.09,69.92,64.80,2.92,5.92,7.84,6.93,0.55,35.03,54.94,45.68,5.60
mungbean,measured,0,40,20.99,11.45,35,60,47.28,7.83,15,25,19.87,3.13,27.01,29.91,28.53,0.84,80.03,90.00,85.50,2.84,6.22,7.20,6.72,0.29,36.12,59.87,48.40,7.08
blackgram,measured,20,60,40.02,12.60,55,80,67.47,7.12,15,25,19.24,3.17,25.10,34.95,29.97,2.67,60.07,69.96,65.12,2.78,6.50,7.78,7.13,0.37,60.42,74.92,67.88,4.16
wheat,literature,80,130,105,12,40,65,52,7,30,55,42,7,12,25,18,3,50,70,60,5,6.0,8.0,7.0,0.5,50,110,80,15
sugarcane,literature,110,145,128,11,40,70,55,8,50,100,75,12,24,35,29,3,70,90,80,5,6.0,7.8,6.9,0.4,100,200,150,25
potato,literature,80,130,105,12,50,85,67,8,70,130,100,15,14,24,18,3,60,80,70,5,5.0,6.8,5.9,0.4,50,120,80,15
mustard,literature,50,90,70,10,30,55,42,6,20,45,32,6,10,25,17,3,45,65,55,5,6.0,7.8,6.9,0.4,35,90,60,13
sunflower,literature,50,90,70,10,35,60,47,7,40,80,58,10,20,28,24,2,50,70,60,5,6.5,7.5,7.0,0.3,50,100,72,13
sorghum,literature,50,90,68,10,30,50,40,6,25,50,36,6,25,35,29,3,45,70,57,6,6.0,8.0,7.0,0.5,40,100,65,15
millet,literature,40,75,55,9,20,45,32,6,25,50,36,6,25,35,30,3,40,65,52,6,6.0,8.2,7.1,0.5,30,80,50,13
barley,literature,40,80,60,10,30,50,40,6,25,50,36,6,12,25,18,3,45,65,55,5,6.5,8.2,7.4,0.4,35,90,60,13
