Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Pakistan,Maize,1990,14014,494.0,5299.0,24.81
Pakistan,Maize,1990,14014,494.0,5299.0,23.14
Pakistan,Maize,1990,14014,494.0,5299.0,27.0
Pakistan,Maize,1990,14014,494.0,5299.0,23.14
Pakistan,Maize,1990,14014,494.0,5299.0,26.39
Pakistan,Maize,1990,14014,494.0,5299.0,24.81
Pakistan,Maize,1990,14014,494.0,5299.0,26.23
Pakistan,Maize,1990,14014,494.0,5299.0,19.36
Pakistan,Maize,1990,14014,494.0,5299.0,23.14
Pakistan,Maize,1991,14235,494.0,5962.0,24.38
Pakistan,Maize,1991,14235,494.0,5962.0,22.48
Pakistan,Maize,1991,14235,494.0,5962.0,26.98
Pakistan,Maize,1991,14235,494.0,5962.0,22.48
Pakistan,Maize,1991,14235,494.0,5962.0,26.34
Pakistan,Maize,1991,14235,494.0,5962.0,24.38
Pakistan,Maize,1991,14235,494.0,5962.0,25.87
Pakistan,Maize,1991,14235,494.0,5962.0,18.48
Pakistan,Maize,1991,14235,494.0,5962.0,22.48
Pakistan,Maize,1992,13966,494.0,5518.0,24.31
Pakistan,Maize,1992,13966,494.0,5518.0,22.36
Pakistan,Maize,1992,13966,494.0,5518.0,26.91
Pakistan,Maize,1992,13966,494.0,5518.0,22.36
Pakistan,Maize,1992,13966,494.0,5518.0,26.36
Pakistan,Maize,1992,13966,494.0,5518.0,24.31
Pakistan,Maize,1992,13966,494.0,5518.0,25.71
Pakistan,Maize,1992,13966,494.0,5518.0,18.34
Pakistan,Maize,1992,13966,494.0,5518.0,22.36
Pakistan,Maize,1993,13983,494.0,4945.0,25.04
Pakistan,Maize,1993,13983,494.0,4945.0,23.08
Pakistan,Maize,1993,13983,494.0,4945.0,27.72
Pakistan,Maize,1993,13983,494.0,4945.0,23.08
Pakistan,Maize,1993,13983,494.0,4945.0,27.25
Pakistan,Maize,1993,13983,494.0,4945.0,25.04
Pakistan,Maize,1993,13983,494.0,4945.0,26.51
Pakistan,Maize,1993,13983,494.0,4945.0,18.91
Pakistan,Maize,1993,13983,494.0,4945.0,23.08
Pakistan,Maize,1994,15004,494.0,6183.0,24.78
Pakistan,Maize,1994,15004,494.0,6183.0,22.93
Pakistan,Maize,1994,15004,494.0,6183.0,26.87
Pakistan,Maize,1994,15004,494.0,6183.0,22.93
Pakistan,Maize,1994,15004,494.0,6183.0,26.36
Pakistan,Maize,1994,15004,494.0,6183.0,24.78
Pakistan,Maize,1994,15004,494.0,6183.0,26.13
Pakistan,Maize,1994,15004,494.0,6183.0,18.78
Pakistan,Maize,1994,15004,494.0,6183.0,22.93
Pakistan,Maize,1995,16908,494.0,7681.0,24.58
Pakistan,Maize,1995,16908,494.0,7681.0,22.61
Pakistan,Maize,1995,16908,494.0,7681.0,27.11
Pakistan,Maize,1995,16908,494.0,7681.0,22.61
Pakistan,Maize,1995,16908,494.0,7681.0,26.63
Pakistan,Maize,1995,16908,494.0,7681.0,24.58
Pakistan,Maize,1995,16908,494.0,7681.0,26.09
Pakistan,Maize,1995,16908,494.0,7681.0,18.68
Pakistan,Maize,1995,16908,494.0,7681.0,22.61
Pakistan,Maize,1996,15884,494.0,11955.0,24.43
