"crop","year","yield_t_ha"
"barley","2014","0.9389"
"barley","2015","0.9261"
"barley","2016","0.9167"
"barley","2017","0.9531"
"barley","2018","0.9574"
"barley","2019","0.9682"
"barley","2020","0.9636"
"barley","2021","1.0004"
"barley","2022","0.9947"
"barley","2023","1.072"
"barley","2024","1.0905"
"maize","2014","4.3211"
"maize","2015","4.4248"
"maize","2016","4.5491"
"maize","2017","4.7182"
"maize","2018","4.9685"
"maize","2019","5.614"
"maize","2020","6.3054"
"maize","2021","5.7637"
"maize","2022","6.3886"
"maize","2023","5.9335"
"maize","2024","6.1333"
"potato","2014","18.1506"
"potato","2015","23.4439"
"potato","2016","22.4346"
"potato","2017","21.4503"
"potato","2018","23.6699"
"potato","2019","24.8874"
"potato","2020","24.5612"
"potato","2021","25.0637"
"potato","2022","25.2666"
"potato","2023","24.4285"
"potato","2024","24.9011"
"rice","2014","3.6339"
"rice","2015","3.724"
"rice","2016","3.7716"
"rice","2017","3.8526"
"rice","2018","3.8427"
"rice","2019","3.6653"
"rice","2020","3.7863"
"rice","2021","3.9532"
"rice","2022","3.6903"
"rice","2023","4.0662"
"rice","2024","3.7406"
"soybean","2014","0.75"
"soybean","2015","0.5366"
"soybean","2016","0.8511"
"soybean","2017","0.7308"
"soybean","2018","1.037"
"soybean","2019","0.8824"
"soybean","2020","1.1105"
"soybean","2021","0.8727"
"soybean","2022","0.6429"
"soybean","2023","0.6364"
"soybean","2024","0.6"
"sugarcane","2014","55.0872"
"sugarcane","2015","57.8734"
"sugarcane","2016","61.9973"
"sugarcane","2017","62.1061"
"sugarcane","2018","60.9594"
"sugarcane","2019","63.8407"
"sugarcane","2020","69.5341"
"sugarcane","2021","70.3414"
"sugarcane","2022","66.7112"
"sugarcane","2023","74.2516"
"sugarcane","2024","70.6026"
"wheat","2014","2.8241"
"wheat","2015","2.7256"
"wheat","2016","2.779"
"wheat","2017","2.9729"
"wheat","2018","2.8505"
"wheat","2019","2.8059"
"wheat","2020","2.8675"
"wheat","2021","2.9956"
"wheat","2022","2.9196"
"wheat","2023","3.1176"
"wheat","2024","3.2683"
