crop,year,yield_t_ha
apple,1961,8.2143
apple,1962,4.2105
apple,1963,5.9063
apple,1964,3.3158
apple,1965,3.8333
apple,1966,6.9
apple,1967,6.2647
apple,1968,6.5833
apple,1969,8.2986
apple,1970,8.0206
apple,1971,7.9927
apple,1972,6.7668
apple,1973,8.3525
apple,1974,7.8598
apple,1975,8.3144
apple,1976,8.5093
apple,1977,9.0207
apple,1978,9.1423
apple,1979,9.147
apple,1980,9.4435
apple,1981,9.6104
apple,1982,9.9463
apple,1983,9.6263
apple,1984,9.6183
apple,1985,9.5307
apple,1986,10.5767
apple,1987,11.0976
apple,1988,9.8676
apple,1989,10.3798
apple,1990,10.6579
apple,1991,10.5329
apple,1992,10.8007
apple,1993,11.2101
apple,1994,13.1976
apple,1995,13.2483
apple,1996,13.0661
apple,1997,12.8417
apple,1998,12.8454
apple,1999,7.3041
apple,2000,7.5444
apple,2001,7.5534
apple,2002,6.6339
apple,2003,3.0121
apple,2004,3.1421
apple,2005,3.136
apple,2006,3.0945
apple,2007,3.9077
apple,2008,3.8998
apple,2009,3.2829
apple,2010,4.7562
apple,2011,5.4234
apple,2012,5.3579
apple,2013,5.7632
apple,2014,6.1523
apple,2015,6.4015
apple,2016,7.0325
apple,2017,6.3743
apple,2018,6.6265
apple,2019,7.7133
apple,2020,8.6753
apple,2021,9.6298
apple,2022,10.4138
apple,2023,11.6036
apple,2024,12.422
banana,1961,11.7
banana,1962,3.6429
banana,1963,9.4
banana,1964,10.425
banana,1965,10.3673
banana,1966,7.4918
banana,1967,8.3279
banana,1968,7.4203
banana,1969,7.5072
banana,1970,9.7298
banana,1971,9.7834
banana,1972,9.5785
banana,1973,8.7297
banana,1974,8.8472
banana,1975,8.984
banana,1976,9.415
banana,1977,8.5968
banana,1978,8.5897
banana,1979,8.8239
banana,1980,8.8317
banana,1981,8.6367
banana,1982,8.8645
banana,1983,8.7634
banana,1984,8.707
banana,1985,8.6894
banana,1986,8.9381
banana,1987,8.9393
banana,1988,8.9075
banana,1989,8.9226
banana,1990,8.8959
banana,1991,4.2436
banana,1992,5.0754
banana,1993,3.3142
banana,1994,3.3126
banana,1995,3.3109
banana,1996,3.5995
banana,1997,3.5861
banana,1998,4.4614
banana,1999,4.5955
banana,2000,4.8012
banana,2001,4.8038
banana,2002,4.8759
banana,2003,4.8114
banana,2004,5.511
banana,2005,4.519
banana,2006,5.0282
banana,2007,4.3122
banana,2008,4.4424
banana,2009,4.3632
banana,2010,4.4452
banana,2011,4.7008
banana,2012,4.3689
banana,2013,4.2423
banana,2014,4.2562
banana,2015,4.1903
banana,2016,4.6906
banana,2017,4.7076
banana,2018,4.4972
banana,2019,4.5623
banana,2020,4.5947
banana,2021,4.3129
banana,2022,6.4937
banana,2023,7.4289
banana,2024,7.7586
barley,1961,0.6417
barley,1962,0.6217
barley,1963,0.6317
barley,1964,0.6293
barley,1965,0.6368
barley,1966,0.5369
barley,1967,0.5435
barley,1968,0.6221
barley,1969,0.6226
barley,1970,0.6583
barley,1971,0.6463
barley,1972,0.6577
barley,1973,0.6624
barley,1974,0.6817
barley,1975,0.7076
barley,1976,0.7006
barley,1977,0.7089
barley,1978,0.7234
barley,1979,0.7276
barley,1980,0.7414
barley,1981,0.6766
barley,1982,0.7107
barley,1983,0.7043
barley,1984,0.6978
barley,1985,0.6926
barley,1986,0.7082
barley,1987,0.5924
barley,1988,0.771
barley,1989,0.7719
barley,1990,0.8487
barley,1991,0.9056
barley,1992,0.9389
barley,1993,0.9925
barley,1994,0.9675
barley,1995,0.9939
barley,1996,1.0163
barley,1997,0.9862
barley,1998,1.0701
barley,1999,1.0015
barley,2000,0.9506
barley,2001,0.8752
barley,2002,0.9024
barley,2003,0.9248
barley,2004,0.9606
barley,2005,0.9829
barley,2006,0.9733
barley,2007,0.9862
barley,2008,0.9594
barley,2009,0.9477
barley,2010,0.849
barley,2011,0.9235
barley,2012,0.91
barley,2013,0.9207
barley,2014,0.9389
barley,2015,0.9261
barley,2016,0.9167
barley,2017,0.9531
barley,2018,0.9574
barley,2019,0.9682
barley,2020,0.9636
barley,2021,1.0004
barley,2022,0.9947
barley,2023,1.072
barley,2024,1.0905
blackgram,1961,0.3954
blackgram,1962,0.3742
blackgram,1963,0.362
blackgram,1964,0.4425
blackgram,1965,0.4981
blackgram,1966,0.4642
blackgram,1967,0.4552
blackgram,1968,0.6949
blackgram,1969,0.5448
blackgram,1970,0.6588
blackgram,1971,0.6431
blackgram,1972,0.6886
blackgram,1973,0.6453
blackgram,1974,0.6284
blackgram,1975,0.786
blackgram,1976,0.7217
blackgram,1977,0.6671
blackgram,1978,0.6787
blackgram,1979,0.6444
blackgram,1980,0.6279
blackgram,1981,0.6122
blackgram,1982,0.6532
blackgram,1983,0.62
blackgram,1984,0.6345
blackgram,1985,0.6314
blackgram,1986,0.6731
blackgram,1987,0.6533
blackgram,1988,0.7143
blackgram,1989,0.8042
blackgram,1990,0.7954
blackgram,1991,0.7656
blackgram,1992,0.8
blackgram,1993,0.84
blackgram,1994,0.9069
blackgram,1995,0.8994
blackgram,1996,0.9243
blackgram,1997,0.9524
blackgram,1998,0.927
blackgram,1999,0.8785
blackgram,2000,0.9219
blackgram,2001,0.8539
blackgram,2002,0.8543
blackgram,2003,0.815
blackgram,2004,0.8261
blackgram,2005,0.7569
blackgram,2006,0.7381
blackgram,2007,0.739
blackgram,2008,0.6609
blackgram,2009,0.6176
blackgram,2010,0.6301
blackgram,2011,0.7287
blackgram,2012,0.7057
blackgram,2013,0.7188
